pitcher_id,pitch_type,pitches,start_speed,ivb,hb,spin_rate,launch_angle,whiff rate,proportion
676879,,1,,,,,,nan,0.001
669199,FF,685,94.8,15.8,8.7,2677.0,23.0,0.21409921671018275,0.537
669199,ST,532,85.4,-4.3,-9.1,2890.0,12.0,0.37185929648241206,0.417
669199,FS,51,83.6,3.4,11.5,1400.0,12.0,0.5,0.04
669199,,7,,,,,,nan,0.005
669199,SI,1,95.3,15.5,16.6,2742.0,,0.0,0.001
666364,FF,245,94.3,18.4,5.6,2101.0,13.0,0.36885245901639346,0.382
666364,SL,166,86.3,4.5,-3.8,2291.0,-0.0,0.3157894736842105,0.259
666364,CH,131,89.0,4.0,11.5,1510.0,-4.0,0.30666666666666664,0.204
666364,CU,99,82.6,-8.7,-3.0,2136.0,11.0,0.2682926829268293,0.154
666364,,1,,,,,,nan,0.002
687607,FF,1201,89.5,15.4,-6.0,2041.0,19.0,0.20141342756183744,0.493
687607,CH,830,80.2,10.2,-13.4,1758.0,12.0,0.33867276887871856,0.341
687607,CU,393,79.2,1.5,2.4,2082.0,15.0,0.3284313725490196,0.161
687607,,6,,,,,,nan,0.002
687607,CS,4,65.9,7.2,-14.8,1502.0,-14.0,0.0,0.002
607457,FF,383,91.8,14.4,5.8,2399.0,21.0,0.31843575418994413,0.373
607457,SL,353,78.3,0.5,-14.6,2434.0,25.0,0.4838709677419355,0.344
607457,SI,175,91.7,9.6,13.7,2206.0,8.0,0.14285714285714285,0.171
607457,FC,87,89.8,9.5,-0.1,2450.0,17.0,0.14893617021276595,0.085
607457,CH,25,86.1,5.3,10.5,1253.0,-13.0,0.07692307692307693,0.024
607457,,3,,,,,,nan,0.003
687856,ST,558,83.2,1.2,-11.7,2638.0,19.0,0.2537313432835821,0.433
687856,FF,277,92.5,14.7,9.2,2176.0,26.0,0.2222222222222222,0.215
687856,SI,234,91.7,8.1,16.2,2204.0,14.0,0.1348314606741573,0.182
687856,CH,217,84.4,1.7,17.4,1853.0,2.0,0.25925925925925924,0.168
687856,,2,,,,,,nan,0.002
669620,FF,541,92.1,14.6,-3.5,2282.0,15.0,0.1993006993006993,0.506
669620,CU,226,76.0,-10.4,1.6,2215.0,19.0,0.47959183673469385,0.211
669620,FC,164,87.9,7.7,2.8,2201.0,4.0,0.3375,0.153
669620,CH,122,85.7,12.7,-11.3,2025.0,7.0,0.2727272727272727,0.114
669620,SI,15,92.4,15.8,-9.1,2300.0,25.0,0.375,0.014
669620,,1,,,,,,nan,0.001
685410,FF,535,90.1,15.8,3.4,2329.0,21.0,0.10820895522388059,0.281
685410,SI,316,89.3,12.3,11.4,2262.0,17.0,0.10191082802547771,0.166
685410,CU,302,79.1,-3.7,-1.4,2432.0,22.0,0.39316239316239315,0.158
685410,SL,251,84.2,5.2,-2.5,2258.0,16.0,0.31756756756756754,0.132
685410,FC,239,87.9,10.1,-1.0,2285.0,12.0,0.18055555555555555,0.125
685410,ST,164,79.6,-3.2,-9.7,2458.0,19.0,0.3220338983050847,0.086
685410,CH,97,84.4,9.2,12.9,2017.0,24.0,0.1875,0.051
685410,,2,,,,,,nan,0.001
669358,FF,380,95.6,15.8,10.2,2373.0,18.0,0.24022346368715083,0.534
669358,SL,226,86.4,1.6,-2.8,2267.0,15.0,0.3063063063063063,0.318
669358,CU,75,82.8,-12.5,-8.6,2717.0,5.0,0.3448275862068966,0.105
669358,CH,22,89.6,7.1,14.1,1796.0,9.0,0.18181818181818182,0.031
669358,,6,,,,,,nan,0.008
669358,SI,2,95.0,17.5,16.6,2392.0,,nan,0.003
678016,FF,325,91.7,15.2,13.6,2286.0,24.0,0.22058823529411764,0.436
678016,SL,183,80.8,1.2,-2.7,1990.0,20.0,0.2619047619047619,0.245
678016,FC,151,87.8,8.3,1.6,2072.0,25.0,0.13432835820895522,0.202
678016,CH,87,83.4,6.8,14.9,1696.0,7.0,0.17073170731707318,0.117
690925,FF,317,92.9,18.2,2.8,2268.0,21.0,0.2971014492753623,0.507
690925,SL,275,82.7,-3.9,-1.1,2721.0,7.0,0.49557522123893805,0.44
690925,CH,32,86.2,9.0,12.6,1689.0,3.0,0.26666666666666666,0.051
690925,,1,,,,,,nan,0.002
571479,FF,391,92.4,15.6,11.4,2395.0,29.0,0.28,0.482
571479,SL,238,84.9,5.1,-2.5,2396.0,21.0,0.2809917355371901,0.293
571479,CH,182,87.7,3.6,17.0,1741.0,6.0,0.2289156626506024,0.224
571479,,1,,,,,,nan,0.001
678368,FF,282,91.1,15.5,5.8,2105.0,18.0,0.20422535211267606,0.435
678368,FC,152,86.1,10.3,-2.1,2466.0,16.0,0.28205128205128205,0.234
678368,CH,133,81.2,5.3,16.6,2017.0,7.0,0.39473684210526316,0.205
678368,ST,52,80.1,5.5,-12.0,2687.0,24.0,0.19047619047619047,0.08
678368,CU,29,76.6,-7.7,-12.2,2745.0,36.0,0.0,0.045
678368,,1,,,,,,nan,0.002
676221,SI,238,93.5,2.3,-15.8,2059.0,-5.0,0.24390243902439024,0.316
676221,CH,231,83.4,4.3,-18.4,1947.0,13.0,0.3235294117647059,0.307
676221,SL,152,80.0,3.8,16.8,2540.0,19.0,0.34615384615384615,0.202
676221,FC,132,89.5,7.8,0.1,2261.0,18.0,0.26,0.175
668711,FC,217,86.6,7.2,-0.8,2245.0,12.0,0.22935779816513763,0.348
668711,SI,183,88.3,6.7,-11.2,2166.0,10.0,0.22388059701492538,0.294
668711,SL,177,78.9,3.7,11.4,2338.0,29.0,0.21739130434782608,0.284
668711,CH,45,82.3,5.6,-13.7,1683.0,16.0,0.55,0.072
668711,,1,,,,,,nan,0.002
666123,FF,295,91.3,17.5,5.9,2131.0,21.0,0.171875,0.433
666123,CH,193,82.8,8.1,14.8,1783.0,16.0,0.3111111111111111,0.283
666123,CU,74,78.8,-8.2,-4.2,1579.0,5.0,0.41379310344827586,0.109
666123,FC,72,88.5,12.3,-1.8,2163.0,-4.0,0.25,0.106
666123,SL,48,84.3,4.5,-5.2,2154.0,1.0,0.2777777777777778,0.07
672860,SL,501,87.9,3.3,-2.5,2432.0,16.0,0.453781512605042,0.565
672860,FF,372,97.0,17.0,6.5,2312.0,14.0,0.23870967741935484,0.42
672860,SI,10,97.0,15.6,11.9,2399.0,10.0,0.0,0.011
672860,,3,,,,,,nan,0.003
641360,FF,682,92.8,15.0,7.7,2206.0,23.0,0.24633431085043989,0.767
641360,SL,185,82.8,5.4,-6.3,2176.0,12.0,0.3516483516483517,0.208
641360,CH,21,85.3,5.9,9.5,1283.0,-2.0,0.125,0.024
641360,,1,,,,,,nan,0.001
674370,FF,219,95.2,14.1,9.5,2370.0,19.0,0.26732673267326734,0.271
674370,SI,206,95.2,10.0,13.8,2276.0,12.0,0.17894736842105263,0.255
674370,FC,138,87.2,5.1,-0.2,2149.0,21.0,0.3291139240506329,0.171
674370,CH,132,88.8,8.4,15.3,2050.0,11.0,0.3220338983050847,0.163
674370,SL,109,86.6,3.5,-4.5,2154.0,21.0,0.25396825396825395,0.135
674370,,4,,,,,,nan,0.005
656232,FF,482,91.5,12.4,3.4,2434.0,17.0,0.16,0.422
656232,ST,190,82.4,-4.9,-8.6,2415.0,10.0,0.24675324675324675,0.167
656232,CH,186,86.7,5.2,13.9,1978.0,6.0,0.17204301075268819,0.163
656232,SI,182,91.3,5.0,11.4,2216.0,4.0,0.1875,0.16
656232,CU,100,80.4,-13.0,-4.1,2465.0,-3.0,0.3684210526315789,0.088
656232,,1,,,,,,nan,0.001
669361,FF,525,95.1,14.2,1.0,2403.0,8.0,0.28205128205128205,0.511
669361,FC,210,88.8,5.0,-4.3,2224.0,18.0,0.36363636363636365,0.204
669361,CU,198,81.7,-5.4,-2.9,2381.0,14.0,0.2840909090909091,0.193
669361,SL,59,84.7,-2.6,-3.2,2340.0,2.0,0.2857142857142857,0.057
669361,CH,29,89.9,6.8,13.6,1831.0,-8.0,0.125,0.028
669361,,6,,,,,,nan,0.006
702352,SI,380,93.9,4.9,15.4,1803.0,-1.0,0.12834224598930483,0.518
702352,ST,192,81.0,2.6,-13.8,2206.0,21.0,0.2692307692307692,0.262
702352,FF,64,94.1,11.6,9.6,1972.0,25.0,0.2413793103448276,0.087
702352,CH,56,88.7,1.3,12.2,1512.0,26.0,0.3181818181818182,0.076
702352,FC,36,88.9,6.1,-2.6,2093.0,8.0,0.2857142857142857,0.049
702352,,5,,,,,,nan,0.007
696131,FF,463,92.2,14.2,12.0,2117.0,31.0,0.33181818181818185,0.315
696131,ST,430,80.9,-1.2,-12.7,2453.0,13.0,0.23671497584541062,0.293
696131,SI,324,92.0,7.6,16.4,2067.0,8.0,0.13333333333333333,0.221
696131,SL,148,85.2,1.9,-1.4,2336.0,14.0,0.22807017543859648,0.101
696131,CH,87,87.4,4.4,14.2,1604.0,6.0,0.024390243902439025,0.059
696131,FC,17,88.5,5.6,2.1,2150.0,16.0,0.25,0.012
656240,SL,433,84.2,1.6,-1.0,2107.0,16.0,0.36929460580912865,0.481
656240,FF,294,93.7,16.0,6.6,2274.0,17.0,0.1590909090909091,0.326
656240,FS,160,85.7,4.3,7.7,1053.0,-2.0,0.358974358974359,0.178
656240,,11,,,,,,nan,0.012
656240,ST,3,82.1,2.2,-17.5,2987.0,,0.0,0.003
814005,FF,242,93.6,18.0,4.1,2423.0,22.0,0.2413793103448276,0.399
814005,SL,149,86.9,5.4,-5.1,2498.0,14.0,0.2153846153846154,0.246
814005,CU,75,79.7,-12.8,-8.3,2644.0,14.0,0.23076923076923078,0.124
814005,ST,49,81.6,3.7,-12.5,2362.0,12.0,0.36363636363636365,0.081
814005,SI,49,92.6,13.7,13.1,2312.0,19.0,0.2777777777777778,0.081
814005,CH,40,87.2,7.4,13.2,1710.0,12.0,0.14285714285714285,0.066
814005,,2,,,,,,nan,0.003
805123,FF,994,92.6,16.4,9.3,2203.0,17.0,0.21338912133891214,0.448
805123,ST,363,80.9,2.1,-11.6,2495.0,16.0,0.31840796019900497,0.164
805123,CH,334,80.4,6.0,14.2,2155.0,13.0,0.3352272727272727,0.151
805123,FC,263,85.1,6.9,-2.1,2047.0,11.0,0.24166666666666667,0.119
